in:Window placement,in:Orientation,out:% of Total Area,out:Panel Number_1,out:Panel Number_2,out:Panel Number_3,out:Panel Number_4,img
491,135,0.705556,2,18,10,5,Windowplacement491_Orientation135.png
23,135,0.716667,0,9,4,7,Windowplacement23_Orientation135.png
265,135,0.7,17,2,19,4,Windowplacement265_Orientation135.png
107,135,0.766667,4,13,6,7,Windowplacement107_Orientation135.png
121,135,0.75,0,3,4,5,Windowplacement121_Orientation135.png
59,135,0.761111,2,3,5,6,Windowplacement59_Orientation135.png
187,135,0.7,0,10,4,7,Windowplacement187_Orientation135.png
215,135,0.716667,17,10,4,5,Windowplacement215_Orientation135.png
240,135,0.7,17,10,1,3,Windowplacement240_Orientation135.png
317,135,0.755556,17,9,3,19,Windowplacement317_Orientation135.png
32,180,0.5,9,12,13,14,Windowplacement32_Orientation180.png
394,180,0.483333,16,18,14,6,Windowplacement394_Orientation180.png
389,180,0.477778,3,12,4,15,Windowplacement389_Orientation180.png
361,180,0.438889,17,18,19,6,Windowplacement361_Orientation180.png
77,180,0.472222,0,17,19,6,Windowplacement77_Orientation180.png
144,180,0.472222,17,18,11,6,Windowplacement144_Orientation180.png
189,180,0.622222,6,12,14,15,Windowplacement189_Orientation180.png
357,180,0.544444,17,10,13,14,Windowplacement357_Orientation180.png
437,180,0.477778,3,4,14,15,Windowplacement437_Orientation180.png
191,180,0.561111,0,18,6,15,Windowplacement191_Orientation180.png
220,180,0.511111,0,18,12,5,Windowplacement220_Orientation180.png
301,180,0.533333,9,18,13,14,Windowplacement301_Orientation180.png
66,180,0.433333,0,16,18,17,Windowplacement66_Orientation180.png
263,180,0.538889,0,17,6,14,Windowplacement263_Orientation180.png
483,180,0.5,18,12,4,14,Windowplacement483_Orientation180.png
334,180,0.522222,0,19,12,6,Windowplacement334_Orientation180.png
213,180,0.505556,9,4,12,13,Windowplacement213_Orientation180.png
380,180,0.566667,16,17,13,6,Windowplacement380_Orientation180.png
393,180,0.511111,16,18,13,6,Windowplacement393_Orientation180.png
192,180,0.588889,0,19,6,15,Windowplacement192_Orientation180.png
288,180,0.527778,18,12,13,15,Windowplacement288_Orientation180.png
219,180,0.533333,0,19,11,5,Windowplacement219_Orientation180.png
190,180,0.638889,0,13,14,15,Windowplacement190_Orientation180.png
100,180,0.522222,0,17,11,5,Windowplacement100_Orientation180.png
375,180,0.561111,16,18,6,15,Windowplacement375_Orientation180.png
257,180,0.677778,8,17,4,5,Windowplacement257_Orientation180.png
131,180,0.716667,2,13,5,6,Windowplacement131_Orientation180.png
80,180,0.644444,16,0,10,2,Windowplacement80_Orientation180.png
0,180,0.666667,0,9,3,19,Windowplacement0_Orientation180.png
382,180,0.716667,10,3,11,6,Windowplacement382_Orientation180.png
218,180,0.727778,0,2,4,7,Windowplacement218_Orientation180.png
349,180,0.65,0,1,18,10,Windowplacement349_Orientation180.png
228,180,0.727778,9,3,6,7,Windowplacement228_Orientation180.png
179,180,0.744444,3,11,5,4,Windowplacement179_Orientation180.png
336,180,0.711111,0,10,4,5,Windowplacement336_Orientation180.png
369,180,0.672222,8,1,19,4,Windowplacement369_Orientation180.png
