in:Window placements,out:% of Total Area,out:Panel Numbers_1,out:Panel Numbers_2,out:Panel Numbers_3,out:Panel Numbers_4,img
383,0.661111,2,20,13,15,Windowplacements383.png
384,0.588889,1,9,11,13,Windowplacements384.png
385,0.727778,3,20,19,7,Windowplacements385.png
386,0.644444,10,2,11,6,Windowplacements386.png
387,0.55,16,12,13,14,Windowplacements387.png
388,0.666667,11,20,19,14,Windowplacements388.png
389,0.733333,1,9,3,18,Windowplacements389.png
390,0.494444,0,17,4,15,Windowplacements390.png
391,0.633333,16,1,19,13,Windowplacements391.png
392,0.655556,2,11,10,7,Windowplacements392.png
393,0.755556,16,8,18,3,Windowplacements393.png
394,0.55,1,10,17,6,Windowplacements394.png
395,0.544444,8,9,19,13,Windowplacements395.png
396,0.511111,9,11,19,13,Windowplacements396.png
397,0.688889,8,1,19,4,Windowplacements397.png
398,0.616667,0,20,5,14,Windowplacements398.png
399,0.688889,1,10,3,14,Windowplacements399.png
400,0.711111,8,17,0,3,Windowplacements400.png
401,0.633333,16,10,12,7,Windowplacements401.png
402,0.633333,9,10,14,6,Windowplacements402.png
403,0.672222,2,3,18,13,Windowplacements403.png
404,0.25,1,10,18,20,Windowplacements404.png
405,0.705556,8,3,6,15,Windowplacements405.png
406,0.605556,7,20,13,15,Windowplacements406.png
407,0.65,16,1,5,13,Windowplacements407.png
408,0.683333,8,1,18,12,Windowplacements408.png
409,0.616667,0,2,18,20,Windowplacements409.png
410,0.705556,8,0,10,7,Windowplacements410.png
411,0.561111,10,19,4,20,Windowplacements411.png
412,0.677778,14,5,6,7,Windowplacements412.png
413,0.611111,8,9,10,12,Windowplacements413.png
414,0.555556,0,3,11,15,Windowplacements414.png
415,0.638889,16,11,4,13,Windowplacements415.png
416,0.488889,16,18,19,15,Windowplacements416.png
417,0.594444,15,1,17,7,Windowplacements417.png
418,0.65,15,9,1,7,Windowplacements418.png
419,0.633333,8,9,3,6,Windowplacements419.png
420,0.727778,0,8,20,14,Windowplacements420.png
421,0.705556,9,19,20,4,Windowplacements421.png
422,0.638889,16,18,3,19,Windowplacements422.png
423,0.122222,1,11,4,20,Windowplacements423.png
424,0.694444,9,2,4,7,Windowplacements424.png
425,0.6,16,0,4,14,Windowplacements425.png
426,0.505556,16,17,12,5,Windowplacements426.png
427,0.655556,16,10,20,14,Windowplacements427.png
428,0.65,2,11,5,6,Windowplacements428.png
429,0.677778,2,19,14,6,Windowplacements429.png
430,0.633333,0,16,13,6,Windowplacements430.png
431,0.638889,0,16,3,5,Windowplacements431.png
432,0.683333,9,2,10,17,Windowplacements432.png
433,0.65,0,12,4,20,Windowplacements433.png
434,0.555556,16,19,13,15,Windowplacements434.png
435,0.655556,16,9,4,15,Windowplacements435.png
436,0.583333,17,11,19,3,Windowplacements436.png
437,0.6,17,18,11,20,Windowplacements437.png
438,0.616667,18,11,6,14,Windowplacements438.png
439,0.655556,16,2,20,6,Windowplacements439.png
440,0.622222,11,4,5,14,Windowplacements440.png
441,0.638889,8,2,11,20,Windowplacements441.png
442,0.633333,17,2,11,19,Windowplacements442.png
443,0.688889,9,19,20,6,Windowplacements443.png
444,0.705556,3,20,4,13,Windowplacements444.png
445,0.594444,19,12,5,14,Windowplacements445.png
446,0.677778,0,17,2,7,Windowplacements446.png
447,0.566667,15,18,5,7,Windowplacements447.png
448,0.611111,0,16,12,13,Windowplacements448.png
449,0.655556,2,12,6,15,Windowplacements449.png
450,0.655556,16,19,12,6,Windowplacements450.png
451,0.627778,17,2,12,7,Windowplacements451.png
452,0.661111,1,18,14,6,Windowplacements452.png
453,0.627778,16,8,10,6,Windowplacements453.png
454,0.15,0,18,19,3,Windowplacements454.png
455,0.511111,16,18,19,5,Windowplacements455.png
456,0.661111,9,20,6,15,Windowplacements456.png
457,0.627778,2,11,12,5,Windowplacements457.png
458,0.55,18,19,13,15,Windowplacements458.png
459,0.627778,16,19,4,7,Windowplacements459.png
460,0.072222,1,10,20,13,Windowplacements460.png
