in:AR1,in:AR2,in:Z ,in:Distance,in:Number,out:DA,out:Window Area,img
3,1,1,9,2,0.111111,3,AR13_AR21_Z1_Distance9_Number2.png
1,2,1,9,2,0.046296,2,AR11_AR22_Z1_Distance9_Number2.png
2,2,1,9,2,0.194444,4,AR12_AR22_Z1_Distance9_Number2.png
3,2,1,9,2,0.444444,6,AR13_AR22_Z1_Distance9_Number2.png
1,3,1,9,2,0.101852,3,AR11_AR23_Z1_Distance9_Number2.png
2,3,1,9,2,0.532407,6,AR12_AR23_Z1_Distance9_Number2.png
3,3,1,9,2,0.842593,9,AR13_AR23_Z1_Distance9_Number2.png
1,1,2,9,2,0,1,AR11_AR21_Z2_Distance9_Number2.png
2,1,2,9,2,0,2,AR12_AR21_Z2_Distance9_Number2.png
3,1,2,9,2,0.087963,3,AR13_AR21_Z2_Distance9_Number2.png
1,2,2,9,2,0,2,AR11_AR22_Z2_Distance9_Number2.png
2,2,2,9,2,0.212963,4,AR12_AR22_Z2_Distance9_Number2.png
3,2,2,9,2,0.601852,6,AR13_AR22_Z2_Distance9_Number2.png
1,3,2,9,2,0.018519,3,AR11_AR23_Z2_Distance9_Number2.png
2,3,2,9,2,0.597222,6,AR12_AR23_Z2_Distance9_Number2.png
3,3,2,9,2,0.824074,9,AR13_AR23_Z2_Distance9_Number2.png
1,1,3,9,2,0,1,AR11_AR21_Z3_Distance9_Number2.png
2,1,3,9,2,0,2,AR12_AR21_Z3_Distance9_Number2.png
3,1,3,9,2,0,3,AR13_AR21_Z3_Distance9_Number2.png
1,2,3,9,2,0,2,AR11_AR22_Z3_Distance9_Number2.png
2,2,3,9,2,0.115741,4,AR12_AR22_Z3_Distance9_Number2.png
3,2,3,9,2,0.587963,6,AR13_AR22_Z3_Distance9_Number2.png
1,3,3,9,2,0,3,AR11_AR23_Z3_Distance9_Number2.png
2,3,3,9,2,0.513889,6,AR12_AR23_Z3_Distance9_Number2.png
3,3,3,9,2,0.773148,9,AR13_AR23_Z3_Distance9_Number2.png
